,transaction_size,transaction_data
2275,55,Transaction 29
2276,67,Transaction 25
2277,26,Transaction 55
2278,73,Transaction 92
2279,88,Transaction 82
2280,31,Transaction 72
2281,41,Transaction 44
2282,22,Transaction 93
2283,53,Transaction 39
2284,97,Transaction 80
2285,68,Transaction 32
2286,94,Transaction 79
2287,30,Transaction 51
2288,59,Transaction 42
2289,1,Transaction 96
2290,80,Transaction 100
2291,8,Transaction 99
2292,2,Transaction 51
2293,10,Transaction 70
2294,71,Transaction 9
2295,11,Transaction 94
2296,36,Transaction 97
2297,61,Transaction 70
2298,58,Transaction 89
2299,18,Transaction 98
2300,22,Transaction 13
2301,89,Transaction 11
2302,48,Transaction 75
2303,29,Transaction 40
2304,23,Transaction 89
2305,80,Transaction 26
2306,37,Transaction 52
2307,2,Transaction 26
2308,31,Transaction 62
2309,18,Transaction 10
2310,55,Transaction 63
2311,18,Transaction 24
2312,92,Transaction 13
2313,75,Transaction 48
2314,38,Transaction 68
2315,66,Transaction 85
2316,56,Transaction 21
2317,47,Transaction 27
2318,13,Transaction 34
2319,13,Transaction 63
2320,2,Transaction 95
2321,54,Transaction 13
2322,23,Transaction 83
2323,48,Transaction 66
2324,85,Transaction 24
2325,7,Transaction 82
2326,86,Transaction 39
2327,22,Transaction 75
2328,30,Transaction 79
2329,20,Transaction 82
2330,23,Transaction 98
2331,32,Transaction 23
2332,42,Transaction 7
2333,22,Transaction 62
2334,77,Transaction 26
2335,26,Transaction 80
2336,30,Transaction 77
2337,8,Transaction 87
2338,1,Transaction 79
2339,68,Transaction 70
2340,64,Transaction 48
2341,25,Transaction 37
2342,56,Transaction 33
2343,98,Transaction 26
2344,23,Transaction 31
2345,77,Transaction 13
2346,19,Transaction 91
2347,55,Transaction 81
2348,11,Transaction 19
2349,63,Transaction 86
2350,24,Transaction 97
2351,71,Transaction 24
2352,94,Transaction 10
2353,48,Transaction 54
2354,49,Transaction 4
2355,88,Transaction 75
2356,85,Transaction 36
2357,69,Transaction 5
2358,74,Transaction 54
2359,55,Transaction 72
2360,65,Transaction 16
2361,84,Transaction 61
2362,56,Transaction 79
2363,47,Transaction 31
2364,52,Transaction 100
2365,30,Transaction 19
2366,84,Transaction 51
2367,33,Transaction 95
2368,72,Transaction 56
2369,54,Transaction 8
2370,84,Transaction 69
2371,20,Transaction 38
2372,31,Transaction 93
2373,25,Transaction 101
2374,14,Transaction 52
2375,37,Transaction 73
2376,24,Transaction 84
2377,40,Transaction 63
2378,68,Transaction 35
2379,13,Transaction 64
2380,32,Transaction 3
2381,99,Transaction 58
2382,37,Transaction 88
2383,87,Transaction 73
2384,39,Transaction 94
2385,46,Transaction 82
2386,79,Transaction 76
2387,25,Transaction 82
2388,63,Transaction 72
2389,37,Transaction 22
2390,8,Transaction 71
2391,96,Transaction 4
2392,23,Transaction 43
2393,60,Transaction 89
2394,29,Transaction 98
2395,24,Transaction 48
2396,51,Transaction 73
2397,77,Transaction 34
2398,75,Transaction 44
2399,48,Transaction 56
2400,27,Transaction 76
2401,56,Transaction 42
2402,72,Transaction 70
2403,67,Transaction 18
2404,29,Transaction 25
2405,13,Transaction 26
2406,44,Transaction 25
2407,38,Transaction 51
2408,36,Transaction 27
2409,87,Transaction 8
2410,77,Transaction 2
2411,93,Transaction 36
2412,89,Transaction 25
2413,15,Transaction 40
2414,4,Transaction 24
2415,22,Transaction 5
2416,87,Transaction 22
2417,17,Transaction 33
2418,73,Transaction 19
2419,89,Transaction 10
2420,31,Transaction 64
2421,85,Transaction 9
2422,65,Transaction 59
2423,98,Transaction 38
2424,67,Transaction 51
2425,90,Transaction 19
2426,75,Transaction 32
2427,59,Transaction 22
2428,35,Transaction 100
2429,46,Transaction 90
2430,31,Transaction 29
2431,26,Transaction 88
2432,17,Transaction 31
2433,23,Transaction 62
2434,16,Transaction 7
2435,31,Transaction 51
2436,61,Transaction 78
2437,53,Transaction 29
2438,27,Transaction 65
2439,44,Transaction 99
2440,64,Transaction 14
2441,81,Transaction 69
2442,83,Transaction 97
2443,90,Transaction 4
2444,7,Transaction 4
2445,97,Transaction 31
2446,99,Transaction 12
2447,45,Transaction 96
2448,85,Transaction 79
2449,59,Transaction 100
2450,49,Transaction 27
2451,49,Transaction 22
2452,53,Transaction 43
2453,44,Transaction 84
2454,5,Transaction 32
2455,34,Transaction 26
2456,68,Transaction 89
2457,48,Transaction 73
2458,18,Transaction 38
2459,9,Transaction 58
2460,12,Transaction 8
2461,56,Transaction 15
2462,84,Transaction 40
2463,61,Transaction 10
2464,17,Transaction 77
2465,70,Transaction 32
2466,6,Transaction 70
2467,9,Transaction 71
2468,90,Transaction 27
2469,66,Transaction 7
2470,50,Transaction 94
2471,5,Transaction 61
2472,43,Transaction 58
2473,47,Transaction 55
2474,35,Transaction 41
2475,50,Transaction 77
2476,87,Transaction 6
2477,84,Transaction 84
2478,19,Transaction 27
2479,50,Transaction 27
2480,7,Transaction 63
2481,94,Transaction 33
2482,70,Transaction 13
2483,51,Transaction 78
2484,70,Transaction 72
2485,32,Transaction 100
2486,33,Transaction 95
2487,30,Transaction 43
2488,12,Transaction 11
2489,10,Transaction 24
2490,22,Transaction 44
2491,19,Transaction 61
2492,91,Transaction 14
2493,48,Transaction 8
2494,50,Transaction 74
2495,71,Transaction 101
2496,81,Transaction 66
2497,98,Transaction 96
2498,77,Transaction 31
2499,88,Transaction 62
2500,88,Transaction 65
2501,60,Transaction 79
2502,21,Transaction 70
2503,45,Transaction 64
2504,33,Transaction 33
2505,6,Transaction 59
2506,34,Transaction 20
2507,69,Transaction 93
2508,23,Transaction 4
2509,59,Transaction 62
2510,16,Transaction 95
2511,79,Transaction 64
2512,33,Transaction 75
2513,24,Transaction 92
2514,29,Transaction 79
2515,4,Transaction 13
2516,7,Transaction 44
2517,60,Transaction 82
2518,70,Transaction 17
2519,50,Transaction 27
2520,25,Transaction 83
2521,31,Transaction 4
2522,94,Transaction 93
2523,70,Transaction 58
2524,10,Transaction 39
2525,51,Transaction 60
2526,89,Transaction 98
2527,41,Transaction 96
2528,80,Transaction 42
2529,70,Transaction 82
2530,30,Transaction 15
2531,78,Transaction 16
2532,2,Transaction 11
2533,53,Transaction 8
2534,67,Transaction 91
2535,33,Transaction 77
2536,5,Transaction 30
2537,48,Transaction 24
2538,2,Transaction 43
2539,12,Transaction 8
2540,93,Transaction 90
2541,100,Transaction 22
2542,66,Transaction 74
2543,72,Transaction 88
2544,4,Transaction 69
2545,17,Transaction 79
2546,78,Transaction 10
2547,95,Transaction 30
2548,89,Transaction 2
2549,78,Transaction 21
2550,49,Transaction 19
2551,64,Transaction 18
2552,86,Transaction 41
2553,47,Transaction 84
2554,2,Transaction 97
2555,29,Transaction 87
2556,100,Transaction 44
2557,80,Transaction 5
2558,35,Transaction 68
2559,34,Transaction 95
2560,21,Transaction 90
2561,21,Transaction 101
2562,75,Transaction 13
2563,41,Transaction 67
2564,16,Transaction 80
2565,67,Transaction 8
2566,41,Transaction 50
2567,33,Transaction 3
2568,21,Transaction 74
2569,49,Transaction 23
2570,41,Transaction 26
2571,28,Transaction 33
2572,77,Transaction 20
2573,52,Transaction 67
2574,48,Transaction 68
2575,66,Transaction 43
2576,22,Transaction 100
2577,16,Transaction 85
2578,60,Transaction 79
2579,7,Transaction 2
2580,42,Transaction 48
2581,27,Transaction 95
2582,48,Transaction 16
2583,52,Transaction 85
2584,92,Transaction 80
2585,81,Transaction 66
2586,3,Transaction 53
2587,44,Transaction 76
2588,95,Transaction 91
2589,24,Transaction 57
2590,98,Transaction 69
2591,70,Transaction 30
2592,59,Transaction 39
2593,73,Transaction 28
2594,90,Transaction 15
2595,8,Transaction 60
2596,36,Transaction 77
2597,81,Transaction 93
2598,1,Transaction 74
2599,12,Transaction 10
2600,75,Transaction 72
2601,69,Transaction 10
2602,7,Transaction 28
2603,58,Transaction 76
2604,58,Transaction 88
2605,25,Transaction 19
2606,67,Transaction 77
2607,92,Transaction 36
2608,84,Transaction 75
2609,91,Transaction 84
2610,22,Transaction 72
2611,7,Transaction 91
2612,72,Transaction 44
2613,57,Transaction 74
2614,89,Transaction 95
2615,40,Transaction 75
2616,30,Transaction 76
2617,72,Transaction 54
2618,12,Transaction 36
2619,44,Transaction 23
2620,50,Transaction 12
2621,71,Transaction 16
2622,17,Transaction 52
2623,39,Transaction 85
2624,58,Transaction 65
2625,99,Transaction 28
2626,27,Transaction 55
2627,30,Transaction 31
2628,62,Transaction 87
2629,5,Transaction 37
2630,38,Transaction 14
2631,6,Transaction 85
2632,8,Transaction 82
2633,99,Transaction 44
2634,41,Transaction 93
2635,75,Transaction 4
2636,11,Transaction 76
2637,26,Transaction 67
2638,59,Transaction 98
2639,40,Transaction 85
2640,64,Transaction 27
2641,75,Transaction 92
2642,7,Transaction 59
2643,30,Transaction 34
2644,94,Transaction 49
2645,15,Transaction 54
2646,70,Transaction 84
2647,57,Transaction 3
2648,49,Transaction 55
2649,78,Transaction 11
2650,79,Transaction 83
2651,89,Transaction 93
2652,40,Transaction 100
2653,17,Transaction 15
2654,90,Transaction 71
2655,97,Transaction 64
2656,44,Transaction 86
2657,58,Transaction 2
2658,60,Transaction 74
2659,16,Transaction 33
2660,43,Transaction 70
2661,69,Transaction 56
2662,59,Transaction 65
2663,88,Transaction 73
2664,88,Transaction 76
2665,26,Transaction 35
2666,60,Transaction 39
2667,71,Transaction 27
2668,91,Transaction 55
2669,95,Transaction 101
2670,34,Transaction 61
2671,91,Transaction 66
2672,53,Transaction 28
2673,28,Transaction 7
2674,68,Transaction 84
2675,54,Transaction 63
2676,45,Transaction 91
2677,50,Transaction 31
2678,87,Transaction 62
2679,61,Transaction 38
2680,12,Transaction 9
2681,67,Transaction 75
2682,1,Transaction 16
2683,54,Transaction 62
2684,34,Transaction 49
2685,14,Transaction 93
2686,20,Transaction 62
2687,16,Transaction 40
2688,58,Transaction 60
2689,11,Transaction 48
2690,6,Transaction 27
2691,87,Transaction 75
2692,44,Transaction 82
2693,17,Transaction 26
2694,81,Transaction 90
2695,99,Transaction 44
2696,76,Transaction 53
2697,45,Transaction 50
2698,80,Transaction 23
2699,13,Transaction 45
2700,97,Transaction 60
2701,76,Transaction 98
2702,56,Transaction 48
2703,83,Transaction 14
2704,93,Transaction 48
2705,96,Transaction 95
2706,11,Transaction 38
2707,22,Transaction 85
2708,86,Transaction 38
2709,40,Transaction 79
2710,22,Transaction 74
2711,47,Transaction 21
2712,54,Transaction 96
2713,12,Transaction 51
2714,25,Transaction 65
2715,63,Transaction 90
2716,54,Transaction 5
2717,35,Transaction 30
2718,54,Transaction 92
2719,20,Transaction 36
2720,48,Transaction 25
2721,72,Transaction 29
2722,81,Transaction 65
2723,45,Transaction 20
2724,11,Transaction 7
2725,94,Transaction 32
2726,91,Transaction 45
2727,22,Transaction 28
2728,92,Transaction 8
2729,28,Transaction 37
2730,45,Transaction 45
2731,89,Transaction 63
2732,58,Transaction 99
2733,83,Transaction 85
2734,19,Transaction 65
2735,38,Transaction 98
2736,44,Transaction 3
2737,62,Transaction 79
2738,13,Transaction 81
2739,60,Transaction 93
2740,81,Transaction 33
2741,20,Transaction 24
2742,94,Transaction 71
2743,8,Transaction 89
2744,36,Transaction 13
2745,11,Transaction 67
2746,37,Transaction 47
2747,71,Transaction 46
2748,61,Transaction 28
2749,71,Transaction 84
2750,9,Transaction 73
2751,70,Transaction 53
2752,81,Transaction 57
2753,99,Transaction 84
2754,96,Transaction 62
2755,78,Transaction 88
2756,8,Transaction 48
2757,89,Transaction 88
2758,10,Transaction 74
2759,20,Transaction 29
2760,37,Transaction 33
2761,48,Transaction 75
2762,50,Transaction 28
2763,81,Transaction 27
2764,53,Transaction 41
2765,33,Transaction 66
2766,27,Transaction 81
2767,96,Transaction 27
2768,51,Transaction 39
2769,72,Transaction 26
2770,17,Transaction 46
2771,12,Transaction 88
2772,27,Transaction 26
2773,75,Transaction 79
2774,76,Transaction 10
2775,64,Transaction 13
2776,67,Transaction 71
2777,78,Transaction 32
2778,95,Transaction 95
2779,97,Transaction 79
2780,98,Transaction 37
2781,79,Transaction 100
2782,1,Transaction 2
2783,96,Transaction 18
2784,76,Transaction 73
2785,12,Transaction 17
2786,80,Transaction 50
2787,29,Transaction 23
2788,37,Transaction 43
2789,71,Transaction 47
2790,54,Transaction 90
2791,42,Transaction 52
2792,3,Transaction 7
2793,47,Transaction 100
2794,88,Transaction 55
2795,83,Transaction 12
2796,83,Transaction 55
2797,69,Transaction 82
2798,59,Transaction 93
2799,53,Transaction 93
2800,50,Transaction 90
2801,5,Transaction 91
2802,22,Transaction 85
2803,72,Transaction 90
2804,62,Transaction 13
2805,57,Transaction 46
2806,43,Transaction 55
2807,24,Transaction 86
2808,51,Transaction 25
2809,49,Transaction 49
2810,65,Transaction 74
2811,23,Transaction 49
2812,83,Transaction 18
2813,36,Transaction 82
2814,13,Transaction 62
2815,2,Transaction 16
2816,37,Transaction 52
2817,51,Transaction 19
2818,24,Transaction 30
2819,36,Transaction 41
2820,29,Transaction 22
2821,40,Transaction 47
2822,16,Transaction 51
2823,42,Transaction 101
2824,79,Transaction 8
2825,34,Transaction 64
2826,11,Transaction 35
2827,100,Transaction 68
2828,50,Transaction 50
2829,62,Transaction 89
2830,75,Transaction 63
2831,69,Transaction 69
2832,18,Transaction 8
2833,35,Transaction 2
2834,63,Transaction 64
2835,22,Transaction 49
2836,36,Transaction 37
2837,51,Transaction 53
2838,12,Transaction 99
2839,6,Transaction 99
2840,58,Transaction 42
2841,57,Transaction 55
2842,52,Transaction 52
2843,46,Transaction 92
2844,28,Transaction 23
2845,33,Transaction 95
2846,4,Transaction 25
2847,73,Transaction 42
2848,92,Transaction 98
2849,96,Transaction 24
2850,41,Transaction 97
2851,83,Transaction 99
2852,88,Transaction 94
2853,52,Transaction 3
2854,9,Transaction 88
2855,20,Transaction 36
2856,86,Transaction 59
2857,35,Transaction 69
2858,17,Transaction 44
2859,25,Transaction 14
2860,31,Transaction 33
2861,65,Transaction 3
2862,41,Transaction 79
2863,36,Transaction 81
2864,32,Transaction 65
2865,32,Transaction 81
2866,39,Transaction 31
2867,33,Transaction 38
2868,72,Transaction 6
2869,13,Transaction 87
2870,29,Transaction 94
2871,63,Transaction 3
2872,77,Transaction 60
2873,42,Transaction 95
2874,83,Transaction 67
2875,25,Transaction 94
2876,68,Transaction 26
2877,57,Transaction 62
2878,39,Transaction 59
2879,1,Transaction 19
2880,94,Transaction 92
2881,67,Transaction 37
2882,51,Transaction 32
2883,74,Transaction 96
2884,66,Transaction 17
2885,82,Transaction 93
2886,29,Transaction 61
2887,84,Transaction 23
2888,70,Transaction 23
2889,78,Transaction 48
2890,11,Transaction 54
2891,81,Transaction 36
2892,43,Transaction 52
2893,36,Transaction 76
2894,48,Transaction 94
2895,78,Transaction 89
2896,61,Transaction 30
2897,78,Transaction 42
2898,59,Transaction 61
2899,65,Transaction 48
2900,49,Transaction 38
2901,99,Transaction 44
2902,66,Transaction 58
2903,53,Transaction 69
2904,37,Transaction 20
2905,16,Transaction 14
2906,61,Transaction 60
2907,38,Transaction 16
2908,93,Transaction 40
2909,61,Transaction 42
2910,52,Transaction 70
2911,65,Transaction 32
2912,94,Transaction 29
2913,32,Transaction 61
2914,14,Transaction 60
2915,2,Transaction 74
2916,90,Transaction 78
2917,84,Transaction 49
2918,15,Transaction 7
2919,24,Transaction 48
2920,19,Transaction 100
2921,96,Transaction 4
2922,38,Transaction 38
2923,52,Transaction 96
2924,18,Transaction 24
2925,86,Transaction 65
2926,43,Transaction 35
2927,39,Transaction 48
2928,57,Transaction 71
2929,47,Transaction 10
2930,23,Transaction 14
2931,84,Transaction 41
2932,76,Transaction 99
2933,66,Transaction 20
2934,41,Transaction 82
2935,86,Transaction 27
2936,55,Transaction 17
2937,59,Transaction 86
2938,13,Transaction 65
2939,47,Transaction 3
2940,79,Transaction 19
2941,6,Transaction 84
2942,24,Transaction 77
2943,86,Transaction 49
2944,69,Transaction 35
2945,37,Transaction 9
2946,95,Transaction 45
2947,29,Transaction 27
2948,47,Transaction 94
2949,56,Transaction 74
2950,54,Transaction 60
2951,43,Transaction 42
2952,68,Transaction 15
2953,7,Transaction 82
2954,25,Transaction 40
2955,74,Transaction 79
2956,7,Transaction 69
2957,73,Transaction 74
2958,20,Transaction 60
2959,89,Transaction 90
2960,72,Transaction 88
2961,88,Transaction 17
2962,76,Transaction 47
2963,39,Transaction 22
2964,15,Transaction 43
2965,45,Transaction 45
2966,71,Transaction 22
2967,93,Transaction 8
2968,5,Transaction 83
2969,100,Transaction 76
2970,2,Transaction 5
2971,54,Transaction 17
2972,24,Transaction 4
2973,5,Transaction 89
2974,14,Transaction 22
2975,58,Transaction 80
2976,51,Transaction 32
2977,73,Transaction 56
2978,73,Transaction 74
2979,86,Transaction 19
2980,47,Transaction 58
2981,15,Transaction 80
2982,73,Transaction 58
2983,43,Transaction 75
2984,42,Transaction 95
2985,65,Transaction 83
2986,11,Transaction 49
2987,46,Transaction 11
2988,78,Transaction 47
2989,33,Transaction 39
2990,100,Transaction 71
2991,53,Transaction 6
2992,95,Transaction 67
2993,64,Transaction 34
2994,96,Transaction 41
2995,57,Transaction 4
2996,82,Transaction 25
2997,21,Transaction 16
2998,11,Transaction 51
2999,80,Transaction 24
3000,51,Transaction 57
3001,75,Transaction 44
3002,53,Transaction 17
3003,3,Transaction 25
3004,34,Transaction 50
3005,64,Transaction 43
3006,35,Transaction 36
3007,35,Transaction 91
3008,32,Transaction 92
3009,12,Transaction 47
3010,97,Transaction 29
3011,99,Transaction 29
3012,89,Transaction 36
3013,32,Transaction 84
3014,27,Transaction 14
3015,88,Transaction 12
3016,29,Transaction 82
3017,41,Transaction 38
3018,52,Transaction 4
3019,91,Transaction 36
3020,18,Transaction 55
3021,33,Transaction 59
3022,23,Transaction 36
3023,47,Transaction 30
3024,15,Transaction 101
3025,70,Transaction 28
3026,31,Transaction 13
3027,100,Transaction 98
3028,50,Transaction 52
3029,52,Transaction 51
3030,66,Transaction 89
3031,58,Transaction 17
3032,86,Transaction 43
3033,88,Transaction 100
3034,74,Transaction 25
3035,16,Transaction 60
3036,71,Transaction 40
3037,21,Transaction 42
3038,19,Transaction 9
3039,64,Transaction 9
3040,17,Transaction 54
3041,46,Transaction 46
3042,43,Transaction 60
3043,77,Transaction 32
3044,30,Transaction 42
3045,20,Transaction 34
3046,10,Transaction 44
3047,92,Transaction 7
3048,58,Transaction 96
3049,47,Transaction 44
3050,94,Transaction 42
3051,43,Transaction 69
3052,94,Transaction 70
3053,1,Transaction 49
3054,49,Transaction 62
3055,29,Transaction 31
3056,44,Transaction 35
3057,25,Transaction 24
3058,15,Transaction 55
3059,71,Transaction 73
3060,17,Transaction 74
3061,20,Transaction 27
3062,54,Transaction 33
3063,56,Transaction 55
3064,23,Transaction 84
3065,12,Transaction 98
3066,13,Transaction 50
3067,10,Transaction 44
3068,44,Transaction 98
3069,20,Transaction 94
3070,54,Transaction 73
3071,39,Transaction 77
3072,83,Transaction 81
3073,37,Transaction 94
3074,47,Transaction 73
3075,59,Transaction 38
3076,67,Transaction 21
3077,4,Transaction 8
3078,45,Transaction 79
3079,61,Transaction 93
3080,3,Transaction 41
3081,2,Transaction 4
3082,94,Transaction 46
3083,77,Transaction 79
3084,70,Transaction 57
3085,100,Transaction 4
3086,55,Transaction 71
3087,60,Transaction 58
3088,98,Transaction 78
3089,35,Transaction 80
3090,100,Transaction 46
3091,49,Transaction 31
3092,78,Transaction 95
3093,76,Transaction 66
3094,13,Transaction 41
3095,65,Transaction 18
3096,2,Transaction 6
3097,32,Transaction 72
3098,32,Transaction 40
3099,18,Transaction 20
3100,79,Transaction 19
3101,56,Transaction 49
3102,99,Transaction 44
3103,48,Transaction 5
3104,41,Transaction 50
3105,72,Transaction 45
3106,94,Transaction 77
3107,74,Transaction 56
3108,93,Transaction 61
3109,39,Transaction 64
3110,23,Transaction 71
3111,12,Transaction 4
3112,94,Transaction 96
3113,51,Transaction 32
3114,89,Transaction 35
3115,75,Transaction 40
3116,29,Transaction 77
3117,24,Transaction 98
3118,94,Transaction 11
3119,41,Transaction 11
3120,64,Transaction 22
3121,11,Transaction 43
3122,32,Transaction 101
3123,25,Transaction 7
3124,83,Transaction 98
3125,54,Transaction 3
3126,12,Transaction 22
3127,77,Transaction 3
3128,33,Transaction 18
3129,65,Transaction 34
3130,9,Transaction 8
3131,90,Transaction 33
3132,58,Transaction 53
3133,90,Transaction 77
3134,89,Transaction 58
3135,55,Transaction 48
3136,49,Transaction 60
3137,61,Transaction 91
3138,44,Transaction 10
3139,47,Transaction 43
3140,77,Transaction 62
3141,29,Transaction 23
3142,26,Transaction 50
3143,1,Transaction 64
3144,96,Transaction 31
3145,98,Transaction 19
3146,49,Transaction 48
3147,98,Transaction 40
3148,76,Transaction 97
3149,69,Transaction 7
3150,59,Transaction 47
3151,24,Transaction 83
3152,48,Transaction 57
3153,10,Transaction 101
3154,51,Transaction 37
3155,56,Transaction 76
3156,56,Transaction 46
3157,11,Transaction 65
3158,92,Transaction 80
3159,41,Transaction 4
3160,55,Transaction 96
3161,2,Transaction 32
3162,3,Transaction 59
3163,45,Transaction 2
3164,34,Transaction 39
3165,94,Transaction 68
3166,20,Transaction 16
3167,67,Transaction 95
3168,56,Transaction 67
3169,53,Transaction 57
3170,5,Transaction 59
3171,52,Transaction 91
3172,49,Transaction 42
3173,73,Transaction 25
3174,23,Transaction 83
3175,23,Transaction 46
3176,69,Transaction 95
3177,88,Transaction 67
3178,35,Transaction 99
3179,59,Transaction 12
3180,92,Transaction 5
3181,22,Transaction 91
3182,89,Transaction 41
3183,39,Transaction 32
3184,45,Transaction 80
3185,64,Transaction 73
3186,30,Transaction 49
3187,42,Transaction 7
3188,21,Transaction 88
3189,14,Transaction 14
3190,47,Transaction 72
3191,87,Transaction 48
3192,99,Transaction 51
3193,5,Transaction 73
3194,18,Transaction 81
3195,58,Transaction 91
3196,53,Transaction 37
3197,86,Transaction 21
3198,78,Transaction 55
3199,86,Transaction 73
3200,2,Transaction 96
3201,87,Transaction 37
3202,54,Transaction 25
3203,75,Transaction 64
3204,11,Transaction 49
3205,79,Transaction 48
3206,19,Transaction 4
3207,40,Transaction 92
3208,44,Transaction 99
3209,78,Transaction 7
3210,16,Transaction 23
3211,55,Transaction 48
3212,55,Transaction 39
3213,46,Transaction 30
3214,38,Transaction 34
3215,38,Transaction 51
3216,47,Transaction 74
3217,58,Transaction 78
3218,42,Transaction 50
3219,42,Transaction 4
3220,91,Transaction 64
3221,64,Transaction 14
3222,6,Transaction 63
3223,43,Transaction 41
3224,45,Transaction 46
3225,77,Transaction 13
3226,37,Transaction 67
3227,5,Transaction 89
3228,26,Transaction 59
3229,66,Transaction 97
3230,42,Transaction 4
3231,73,Transaction 47
3232,99,Transaction 45
3233,55,Transaction 30
3234,40,Transaction 97
3235,3,Transaction 62
3236,68,Transaction 47
3237,4,Transaction 2
3238,31,Transaction 49
3239,90,Transaction 37
3240,96,Transaction 24
3241,19,Transaction 88
3242,23,Transaction 6
3243,92,Transaction 91
3244,37,Transaction 63
3245,97,Transaction 24
3246,66,Transaction 32
3247,73,Transaction 74
3248,33,Transaction 42
3249,10,Transaction 93
3250,38,Transaction 4
3251,63,Transaction 2
3252,14,Transaction 95
3253,96,Transaction 80
3254,60,Transaction 3
3255,10,Transaction 98
3256,57,Transaction 33
3257,10,Transaction 77
3258,55,Transaction 31
3259,27,Transaction 9
3260,58,Transaction 77
3261,59,Transaction 2
3262,30,Transaction 23
3263,97,Transaction 89
3264,30,Transaction 87
3265,40,Transaction 63
3266,16,Transaction 58
3267,30,Transaction 74
3268,70,Transaction 79
3269,97,Transaction 75
3270,46,Transaction 55
3271,14,Transaction 44
3272,91,Transaction 60
3273,99,Transaction 46
3274,48,Transaction 41
3275,84,Transaction 7
3276,93,Transaction 80
3277,33,Transaction 59
3278,26,Transaction 56
3279,49,Transaction 9
3280,54,Transaction 83
3281,53,Transaction 47
3282,100,Transaction 20
3283,40,Transaction 53
3284,91,Transaction 15
3285,65,Transaction 63
3286,96,Transaction 2
3287,9,Transaction 89
3288,52,Transaction 63
3289,49,Transaction 26
3290,89,Transaction 87
3291,27,Transaction 66
3292,19,Transaction 74
3293,90,Transaction 36
3294,58,Transaction 26
3295,13,Transaction 61
3296,6,Transaction 3
3297,98,Transaction 63
3298,51,Transaction 85
3299,29,Transaction 90
3300,25,Transaction 6
3301,28,Transaction 82
3302,5,Transaction 15
3303,96,Transaction 71
3304,67,Transaction 64
3305,70,Transaction 68
3306,62,Transaction 7
3307,85,Transaction 54
3308,92,Transaction 12
3309,88,Transaction 63
3310,62,Transaction 79
3311,7,Transaction 93
3312,11,Transaction 42
3313,60,Transaction 38
3314,92,Transaction 88
3315,35,Transaction 28
3316,99,Transaction 93
3317,27,Transaction 27
3318,46,Transaction 95
3319,95,Transaction 36
3320,53,Transaction 60
3321,23,Transaction 25
3322,76,Transaction 4
3323,72,Transaction 28
3324,87,Transaction 75
3325,75,Transaction 5
3326,97,Transaction 75
3327,89,Transaction 79
3328,10,Transaction 59
3329,90,Transaction 92
3330,51,Transaction 21
3331,27,Transaction 101
3332,86,Transaction 12
3333,84,Transaction 74
3334,47,Transaction 101
3335,67,Transaction 56
3336,64,Transaction 35
3337,44,Transaction 20
3338,59,Transaction 29
3339,99,Transaction 75
3340,93,Transaction 74
3341,37,Transaction 78
3342,70,Transaction 76
3343,73,Transaction 68
3344,23,Transaction 59
3345,30,Transaction 29
3346,67,Transaction 3
3347,25,Transaction 8
3348,40,Transaction 53
3349,2,Transaction 58
3350,55,Transaction 20
3351,94,Transaction 3
3352,22,Transaction 63
3353,98,Transaction 61
3354,35,Transaction 29
3355,71,Transaction 94
3356,21,Transaction 87
3357,42,Transaction 8
3358,6,Transaction 2
3359,87,Transaction 3
3360,58,Transaction 58
3361,99,Transaction 78
3362,33,Transaction 20
3363,5,Transaction 27
3364,61,Transaction 61
3365,62,Transaction 61
3366,1,Transaction 90
3367,64,Transaction 88
3368,5,Transaction 63
3369,17,Transaction 49
3370,5,Transaction 12
3371,58,Transaction 83
3372,48,Transaction 12
3373,27,Transaction 64
3374,88,Transaction 101
3375,5,Transaction 25
3376,87,Transaction 74
3377,88,Transaction 80
3378,96,Transaction 29
3379,51,Transaction 36
3380,57,Transaction 65
3381,93,Transaction 91
3382,16,Transaction 37
3383,71,Transaction 81
3384,19,Transaction 56
3385,66,Transaction 66
3386,8,Transaction 40
3387,53,Transaction 59
3388,71,Transaction 70
3389,16,Transaction 3
3390,31,Transaction 49
3391,51,Transaction 26
3392,20,Transaction 76
3393,100,Transaction 39
3394,34,Transaction 26
3395,90,Transaction 43
3396,58,Transaction 59
3397,46,Transaction 59
3398,67,Transaction 43
3399,53,Transaction 50
3400,84,Transaction 84
3401,24,Transaction 85
3402,99,Transaction 78
3403,42,Transaction 27
3404,54,Transaction 45
3405,59,Transaction 70
3406,69,Transaction 88
3407,15,Transaction 31
3408,34,Transaction 4
3409,3,Transaction 95
3410,68,Transaction 7
3411,86,Transaction 88
3412,69,Transaction 4
3413,3,Transaction 10
3414,97,Transaction 56
3415,45,Transaction 98
3416,92,Transaction 4
3417,74,Transaction 95
3418,4,Transaction 21
3419,87,Transaction 12
3420,75,Transaction 78
3421,76,Transaction 7
3422,10,Transaction 22
3423,47,Transaction 73
3424,58,Transaction 74
3425,99,Transaction 44
3426,15,Transaction 78
3427,44,Transaction 21
3428,96,Transaction 19
3429,55,Transaction 60
3430,50,Transaction 72
3431,26,Transaction 6
3432,66,Transaction 64
3433,28,Transaction 63
3434,42,Transaction 60
3435,31,Transaction 24
3436,19,Transaction 99
3437,84,Transaction 76
3438,59,Transaction 80
3439,81,Transaction 46
